season,batsman,Runs,CUM_RUNS,Rank
2008,SE Marsh,616.0,616.0,1.0
2008,G Gambhir,534.0,534.0,2.0
2008,ST Jayasuriya,514.0,514.0,3.0
2008,SR Watson,472.0,472.0,4.0
2008,GC Smith,441.0,441.0,5.0
2008,AC Gilchrist,436.0,436.0,6.0
2008,YK Pathan,435.0,435.0,7.0
2008,SK Raina,421.0,421.0,8.0
2008,MS Dhoni,414.0,414.0,9.0
2008,V Sehwag,406.0,406.0,10.0
2008,RG Sharma,404.0,404.0,11.0
2008,R Dravid,371.0,371.0,12.0
2008,SC Ganguly,349.0,349.0,13.0
2008,S Dhawan,340.0,340.0,14.0
2008,KC Sangakkara,320.0,320.0,15.0
2008,RV Uthappa,320.0,320.0,15.0
2008,DJ Hussey,319.0,319.0,16.0
2008,SA Asnodkar,311.0,311.0,17.0
2008,PA Patel,302.0,302.0,18.0
2008,Yuvraj Singh,299.0,299.0,19.0
2008,Y Venugopal Rao,288.0,288.0,20.0
2008,JA Morkel,241.0,241.0,21.0
2008,MV Boucher,225.0,225.0,22.0
2008,JR Hopes,221.0,221.0,23.0
2008,AM Nayar,206.0,206.0,24.0
2008,JH Kallis,199.0,199.0,25.0
2008,SP Fleming,196.0,196.0,26.0
2008,Salman Butt,193.0,193.0,27.0
2008,S Badrinath,192.0,192.0,28.0
2008,ML Hayden,189.0,189.0,29.0
2008,BB McCullum,188.0,188.0,30.0
2008,SR Tendulkar,188.0,188.0,30.0
2008,DPMD Jayawardene,179.0,179.0,31.0
2008,DJ Bravo,178.0,178.0,32.0
2008,M Kaif,176.0,176.0,33.0
2008,MEK Hussey,168.0,168.0,34.0
2008,HH Gibbs,167.0,167.0,35.0
2008,V Kohli,165.0,165.0,36.0
2008,LR Shukla,163.0,163.0,37.0
2008,A Symonds,161.0,161.0,38.0
2008,WP Saha,159.0,159.0,39.0
2008,VVS Laxman,155.0,155.0,40.0
2008,LA Pomersbach,152.0,152.0,41.0
2008,LRPL Taylor,149.0,149.0,42.0
2008,SM Pollock,147.0,147.0,43.0
2008,KD Karthik,145.0,145.0,44.0
2008,S Vidyut,145.0,145.0,44.0
2008,RA Jadeja,135.0,135.0,45.0
2008,IK Pathan,131.0,131.0,46.0
2008,Kamran Akmal,128.0,128.0,47.0
2009,AC Gilchrist,495.0,931.0,1.0
2009,SK Raina,434.0,855.0,2.0
2009,G Gambhir,286.0,820.0,3.0
2009,RG Sharma,362.0,766.0,4.0
2009,ML Hayden,572.0,761.0,5.0
2009,MS Dhoni,332.0,746.0,6.0
2009,ST Jayasuriya,221.0,735.0,7.0
