season,batsman,Runs,CUM_RUNS,Rank
2009,YK Pathan,243.0,678.0,8.0
2009,GC Smith,212.0,653.0,9.0
2009,KC Sangakkara,332.0,652.0,10.0
2009,R Dravid,271.0,642.0,11.0
2009,Yuvraj Singh,340.0,639.0,12.0
2009,SE Marsh,0.0,616.0,13.0
2009,V Sehwag,198.0,604.0,14.0
2009,JH Kallis,361.0,560.0,15.0
2009,AB de Villiers,465.0,560.0,15.0
2009,SR Tendulkar,364.0,552.0,16.0
2009,SC Ganguly,189.0,538.0,17.0
2009,HH Gibbs,371.0,538.0,17.0
2009,TM Dilshan,418.0,522.0,18.0
2009,RV Uthappa,175.0,495.0,19.0
2009,BB McCullum,285.0,473.0,20.0
2009,SR Watson,0.0,472.0,21.0
2009,PA Patel,142.0,444.0,22.0
2009,KD Karthik,288.0,433.0,23.0
2009,RA Jadeja,295.0,430.0,24.0
2009,LRPL Taylor,280.0,429.0,25.0
2009,DJ Hussey,98.0,417.0,26.0
2009,Y Venugopal Rao,124.0,412.0,27.0
2009,V Kohli,246.0,411.0,28.0
2009,A Symonds,249.0,410.0,29.0
2009,SA Asnodkar,98.0,409.0,30.0
2009,AM Nayar,193.0,399.0,31.0
2009,DPMD Jayawardene,219.0,398.0,32.0
2009,DJ Bravo,218.0,396.0,33.0
2009,S Dhawan,40.0,380.0,34.0
2009,BJ Hodge,365.0,377.0,35.0
2009,MV Boucher,150.0,375.0,36.0
2009,JP Duminy,372.0,372.0,37.0
2009,S Badrinath,177.0,369.0,38.0
2009,JA Morkel,97.0,338.0,39.0
2009,IK Pathan,196.0,327.0,40.0
2009,DR Smith,215.0,260.0,41.0
2009,LR Shukla,83.0,246.0,42.0
2009,SM Katich,145.0,241.0,43.0
2009,TL Suman,237.0,237.0,44.0
2009,WP Saha,72.0,231.0,45.0
2009,JR Hopes,0.0,221.0,46.0
2009,K Goel,124.0,200.0,47.0
2009,SP Fleming,0.0,196.0,48.0
2010,SK Raina,520.0,1375.0,1.0
2010,AC Gilchrist,289.0,1220.0,2.0
2010,RG Sharma,404.0,1170.0,3.0
2010,SR Tendulkar,618.0,1170.0,3.0
2010,JH Kallis,572.0,1132.0,4.0
2010,ML Hayden,346.0,1107.0,5.0
2010,G Gambhir,277.0,1097.0,6.0
2010,MS Dhoni,287.0,1033.0,7.0
2010,SC Ganguly,493.0,1031.0,8.0
2010,YK Pathan,333.0,1011.0,9.0
2010,KC Sangakkara,357.0,1009.0,10.0
2010,V Sehwag,356.0,960.0,11.0
2010,R Dravid,256.0,898.0,12.0
2010,Yuvraj Singh,255.0,894.0,13.0
2010,RV Uthappa,374.0,869.0,14.0
2010,A Symonds,429.0,839.0,15.0
2010,DPMD Jayawardene,439.0,837.0,16.0
2010,HH Gibbs,267.0,805.0,17.0
2010,ST Jayasuriya,33.0,768.0,18.0
2010,SE Marsh,147.0,763.0,19.0
2010,S Badrinath,356.0,725.0,20.0
2010,V Kohli,307.0,718.0,21.0
2010,KD Karthik,278.0,711.0,22.0
2010,GC Smith,44.0,697.0,23.0
2010,AB de Villiers,111.0,671.0,24.0
2010,SR Watson,185.0,657.0,25.0
2010,IK Pathan,276.0,603.0,26.0
2010,BB McCullum,114.0,587.0,27.0
2010,S Dhawan,191.0,571.0,28.0
2010,TM Dilshan,44.0,566.0,29.0
2010,NV Ojha,377.0,545.0,30.0
2010,TL Suman,307.0,544.0,31.0
2010,JA Morkel,198.0,536.0,32.0
2010,JP Duminy,157.0,529.0,33.0
2010,M Vijay,458.0,518.0,34.0
2010,LRPL Taylor,88.0,517.0,35.0
2010,PA Patel,72.0,516.0,36.0
2010,DJ Hussey,94.0,511.0,37.0
2010,BJ Hodge,99.0,476.0,38.0
2010,CH Gayle,292.0,463.0,39.0
2010,SS Tiwary,419.0,458.0,40.0
2010,AM Nayar,58.0,457.0,41.0
2010,DJ Bravo,61.0,457.0,41.0
2010,Y Venugopal Rao,34.0,446.0,42.0
2010,DA Warner,282.0,445.0,43.0
2010,RA Jadeja,0.0,430.0,44.0
2010,MK Pandey,249.0,420.0,45.0
2010,SA Asnodkar,5.0,414.0,46.0
2010,MV Boucher,13.0,388.0,47.0
2010,RS Bopara,248.0,386.0,48.0
2011,SK Raina,438.0,1813.0,1.0
2011,SR Tendulkar,553.0,1723.0,2.0
2011,AC Gilchrist,383.0,1603.0,3.0
2011,JH Kallis,424.0,1556.0,4.0
2011,RG Sharma,372.0,1542.0,5.0
2011,G Gambhir,378.0,1475.0,6.0
2011,MS Dhoni,392.0,1425.0,7.0
2011,V Sehwag,424.0,1384.0,8.0
2011,KC Sangakkara,358.0,1367.0,9.0
2011,YK Pathan,283.0,1294.0,10.0
2011,V Kohli,557.0,1275.0,11.0
2011,SE Marsh,504.0,1267.0,12.0
2011,R Dravid,343.0,1241.0,13.0
2011,Yuvraj Singh,343.0,1237.0,14.0
2011,DPMD Jayawardene,299.0,1136.0,15.0
2011,RV Uthappa,264.0,1133.0,16.0
2011,S Badrinath,396.0,1121.0,17.0
2011,ML Hayden,0.0,1107.0,18.0
2011,SC Ganguly,50.0,1081.0,19.0
2011,CH Gayle,608.0,1071.0,20.0
2011,KD Karthik,282.0,993.0,21.0
2011,SR Watson,330.0,987.0,22.0
2011,AB de Villiers,312.0,983.0,23.0
2011,A Symonds,135.0,974.0,24.0
2011,S Dhawan,400.0,971.0,25.0
2011,M Vijay,434.0,952.0,26.0
2011,BB McCullum,357.0,944.0,27.0
2011,HH Gibbs,0.0,805.0,28.0
2011,TM Dilshan,226.0,792.0,29.0
2011,Y Venugopal Rao,336.0,782.0,30.0
2011,DA Warner,324.0,769.0,31.0
2011,ST Jayasuriya,0.0,768.0,32.0
2011,BJ Hodge,285.0,761.0,33.0
2011,IK Pathan,150.0,753.0,34.0
2011,AT Rayudu,395.0,751.0,35.0
2011,GC Smith,42.0,739.0,36.0
2011,JP Duminy,205.0,734.0,37.0
2011,PA Patel,202.0,718.0,38.0
2011,RA Jadeja,283.0,713.0,39.0
2011,MK Tiwary,359.0,709.0,40.0
2011,NV Ojha,160.0,705.0,41.0
2011,LRPL Taylor,181.0,698.0,42.0
2011,MEK Hussey,492.0,697.0,43.0
2011,JA Morkel,138.0,674.0,44.0
2011,MK Pandey,246.0,666.0,45.0
2011,SS Tiwary,187.0,645.0,46.0
2011,TL Suman,65.0,609.0,47.0
2011,DJ Hussey,64.0,575.0,48.0
2011,AM Nayar,61.0,518.0,49.0
2011,PC Valthaty,463.0,469.0,50.0
2012,SK Raina,441.0,2254.0,1.0
2012,G Gambhir,590.0,2065.0,2.0
2012,SR Tendulkar,324.0,2047.0,3.0
2012,RG Sharma,433.0,1975.0,4.0
2012,JH Kallis,409.0,1965.0,5.0
2012,V Sehwag,495.0,1879.0,6.0
2012,CH Gayle,733.0,1804.0,7.0
2012,MS Dhoni,358.0,1783.0,8.0
2012,AC Gilchrist,172.0,1775.0,9.0
2012,R Dravid,462.0,1703.0,10.0
2012,V Kohli,364.0,1639.0,11.0
2012,SE Marsh,336.0,1603.0,12.0
2012,KC Sangakkara,200.0,1567.0,13.0
2012,S Dhawan,569.0,1540.0,14.0
2012,RV Uthappa,405.0,1538.0,15.0
2012,YK Pathan,194.0,1488.0,16.0
2012,DPMD Jayawardene,335.0,1471.0,17.0
2012,SC Ganguly,268.0,1349.0,18.0
2012,S Badrinath,196.0,1317.0,19.0
2012,AB de Villiers,319.0,1302.0,20.0
2012,M Vijay,336.0,1288.0,21.0
2012,SR Watson,255.0,1242.0,22.0
2012,Yuvraj Singh,0.0,1237.0,23.0
2012,BB McCullum,289.0,1233.0,24.0
2012,KD Karthik,238.0,1231.0,25.0
2012,ML Hayden,0.0,1107.0,26.0
2012,AT Rayudu,333.0,1084.0,27.0
2012,TM Dilshan,285.0,1077.0,28.0
2012,DA Warner,256.0,1025.0,29.0
2012,BJ Hodge,245.0,1006.0,30.0
2012,JP Duminy,244.0,978.0,31.0
2012,A Symonds,0.0,974.0,32.0
2012,DJ Hussey,396.0,971.0,33.0
2012,MK Tiwary,260.0,969.0,34.0
2012,NV Ojha,255.0,960.0,35.0
2012,MEK Hussey,261.0,958.0,36.0
2012,IK Pathan,176.0,929.0,37.0
2012,Y Venugopal Rao,132.0,914.0,38.0
2012,PA Patel,194.0,912.0,39.0
2012,RA Jadeja,191.0,904.0,40.0
2012,LRPL Taylor,197.0,895.0,41.0
2012,HH Gibbs,81.0,886.0,42.0
2012,DJ Bravo,371.0,839.0,43.0
2012,SS Tiwary,191.0,836.0,44.0
2012,AM Rahane,560.0,828.0,45.0
2012,MK Pandey,143.0,809.0,46.0
2012,JA Morkel,107.0,781.0,47.0
2012,ST Jayasuriya,0.0,768.0,48.0
2012,CL White,479.0,745.0,49.0
2012,GC Smith,0.0,739.0,50.0
2013,SK Raina,548.0,2802.0,1.0
2013,RG Sharma,538.0,2513.0,2.0
2013,CH Gayle,708.0,2512.0,3.0
2013,G Gambhir,406.0,2471.0,4.0
2013,SR Tendulkar,287.0,2334.0,5.0
2013,JH Kallis,311.0,2276.0,6.0
2013,V Kohli,634.0,2273.0,7.0
2013,MS Dhoni,461.0,2244.0,8.0
2013,R Dravid,471.0,2174.0,9.0
2013,V Sehwag,295.0,2174.0,9.0
2013,AC Gilchrist,294.0,2069.0,10.0
2013,RV Uthappa,434.0,1972.0,11.0
2013,SE Marsh,300.0,1903.0,12.0
2013,S Dhawan,311.0,1851.0,13.0
2013,YK Pathan,332.0,1820.0,14.0
2013,DPMD Jayawardene,331.0,1802.0,15.0
2013,SR Watson,543.0,1785.0,16.0
2013,KD Karthik,510.0,1741.0,17.0
2013,MEK Hussey,733.0,1691.0,18.0
2013,KC Sangakkara,120.0,1687.0,19.0
2013,AB de Villiers,360.0,1662.0,20.0
2013,M Vijay,312.0,1600.0,21.0
2013,Yuvraj Singh,238.0,1475.0,22.0
2013,S Badrinath,124.0,1441.0,23.0
2013,DA Warner,410.0,1435.0,24.0
2013,SC Ganguly,0.0,1349.0,25.0
2013,AT Rayudu,265.0,1349.0,25.0
2013,AM Rahane,488.0,1316.0,26.0
2013,BJ Hodge,293.0,1299.0,27.0
2013,BB McCullum,6.0,1239.0,28.0
2013,DJ Hussey,235.0,1206.0,29.0
2013,PA Patel,294.0,1206.0,29.0
2013,TM Dilshan,76.0,1153.0,30.0
2013,MK Tiwary,146.0,1115.0,31.0
2013,ML Hayden,0.0,1107.0,32.0
2013,RA Jadeja,201.0,1105.0,33.0
2013,IK Pathan,142.0,1071.0,34.0
2013,KA Pollard,420.0,1059.0,35.0
2013,JP Duminy,0.0,978.0,36.0
2013,A Symonds,0.0,974.0,37.0
2013,NV Ojha,9.0,969.0,38.0
2013,DJ Bravo,121.0,960.0,39.0
2013,LRPL Taylor,63.0,958.0,40.0
2013,CL White,209.0,954.0,41.0
2013,SS Tiwary,109.0,945.0,42.0
2013,MK Pandey,136.0,945.0,42.0
2013,Y Venugopal Rao,0.0,914.0,43.0
2013,HH Gibbs,0.0,886.0,44.0
2013,DR Smith,418.0,857.0,45.0
2013,JA Morkel,46.0,827.0,46.0
2014,SK Raina,523.0,3325.0,1.0
2014,RG Sharma,390.0,2903.0,2.0
2014,G Gambhir,335.0,2806.0,3.0
2014,CH Gayle,196.0,2708.0,4.0
2014,V Kohli,359.0,2632.0,5.0
2014,RV Uthappa,660.0,2632.0,5.0
2014,V Sehwag,455.0,2629.0,6.0
2014,MS Dhoni,371.0,2615.0,7.0
2014,JH Kallis,151.0,2427.0,8.0
2014,SR Tendulkar,0.0,2334.0,9.0
2014,S Dhawan,377.0,2228.0,10.0
2014,R Dravid,0.0,2174.0,11.0
2014,YK Pathan,268.0,2088.0,12.0
2014,AC Gilchrist,0.0,2069.0,13.0
2014,KD Karthik,325.0,2066.0,14.0
2014,AB de Villiers,395.0,2057.0,15.0
2014,SR Watson,240.0,2025.0,16.0
2014,SE Marsh,70.0,1973.0,17.0
2014,DA Warner,528.0,1963.0,18.0
2014,MEK Hussey,209.0,1900.0,19.0
2014,Yuvraj Singh,376.0,1851.0,20.0
2014,M Vijay,207.0,1807.0,21.0
2014,DPMD Jayawardene,0.0,1802.0,22.0
2014,AT Rayudu,361.0,1710.0,23.0
2014,KC Sangakkara,0.0,1687.0,24.0
2014,AM Rahane,339.0,1655.0,25.0
2014,BB McCullum,405.0,1644.0,26.0
2014,S Badrinath,0.0,1441.0,27.0
2014,DR Smith,566.0,1423.0,28.0
2014,PA Patel,205.0,1411.0,29.0
2014,BJ Hodge,101.0,1400.0,30.0
2014,JP Duminy,410.0,1388.0,31.0
2014,SC Ganguly,0.0,1349.0,32.0
2014,MK Pandey,401.0,1346.0,33.0
2014,KA Pollard,273.0,1332.0,34.0
2014,DJ Hussey,116.0,1322.0,35.0
2014,MK Tiwary,152.0,1267.0,36.0
2014,RA Jadeja,146.0,1251.0,37.0
2014,NV Ojha,232.0,1201.0,38.0
2014,TM Dilshan,0.0,1153.0,39.0
2014,IK Pathan,55.0,1126.0,40.0
2014,ML Hayden,0.0,1107.0,41.0
2014,LRPL Taylor,59.0,1017.0,42.0
2014,Y Venugopal Rao,71.0,985.0,43.0
2014,A Symonds,0.0,974.0,44.0
2014,DJ Bravo,8.0,968.0,45.0
2014,DA Miller,446.0,962.0,46.0
2014,CL White,0.0,954.0,47.0
2014,SS Tiwary,0.0,945.0,48.0
2014,KP Pietersen,294.0,928.0,49.0
2015,SK Raina,374.0,3699.0,1.0
2015,RG Sharma,482.0,3385.0,2.0
2015,CH Gayle,491.0,3199.0,3.0
2015,V Kohli,505.0,3137.0,4.0
2015,G Gambhir,327.0,3133.0,5.0
2015,RV Uthappa,364.0,2996.0,6.0
2015,MS Dhoni,372.0,2987.0,7.0
2015,V Sehwag,99.0,2728.0,8.0
2015,S Dhawan,353.0,2581.0,9.0
2015,AB de Villiers,513.0,2570.0,10.0
2015,DA Warner,562.0,2525.0,11.0
2015,JH Kallis,0.0,2427.0,12.0
2015,YK Pathan,312.0,2400.0,13.0
2015,SR Watson,347.0,2372.0,14.0
2015,SR Tendulkar,0.0,2334.0,15.0
2015,KD Karthik,141.0,2207.0,16.0
2015,AM Rahane,540.0,2195.0,17.0
2015,R Dravid,0.0,2174.0,18.0
2015,Yuvraj Singh,248.0,2099.0,19.0
2015,BB McCullum,436.0,2080.0,20.0
2015,AC Gilchrist,0.0,2069.0,21.0
2015,M Vijay,251.0,2058.0,22.0
2015,SE Marsh,81.0,2054.0,23.0
2015,AT Rayudu,281.0,1991.0,24.0
2015,MEK Hussey,77.0,1977.0,25.0
2015,DR Smith,399.0,1822.0,26.0
2015,DPMD Jayawardene,0.0,1802.0,27.0
2015,JP Duminy,414.0,1802.0,27.0
2015,KA Pollard,419.0,1751.0,28.0
2015,PA Patel,339.0,1750.0,29.0
2015,KC Sangakkara,0.0,1687.0,30.0
2015,MK Pandey,225.0,1571.0,31.0
2015,S Badrinath,0.0,1441.0,32.0
2015,BJ Hodge,0.0,1400.0,33.0
2015,RA Jadeja,132.0,1383.0,34.0
2015,SC Ganguly,0.0,1349.0,35.0
2015,NV Ojha,137.0,1338.0,36.0
2015,MK Tiwary,57.0,1324.0,37.0
2015,DJ Hussey,0.0,1322.0,38.0
2015,DA Miller,357.0,1319.0,39.0
2015,DJ Bravo,195.0,1163.0,40.0
2015,TM Dilshan,0.0,1153.0,41.0
2015,IK Pathan,0.0,1126.0,42.0
2015,ML Hayden,0.0,1107.0,43.0
2015,F du Plessis,380.0,1081.0,44.0
2015,SS Tiwary,109.0,1054.0,45.0
2015,WP Saha,249.0,1053.0,46.0
2015,LRPL Taylor,0.0,1017.0,47.0
2015,Y Venugopal Rao,0.0,985.0,48.0
2015,A Symonds,0.0,974.0,49.0
2016,V Kohli,973.0,4110.0,1.0
2016,SK Raina,399.0,4098.0,2.0
2016,RG Sharma,489.0,3874.0,3.0
2016,G Gambhir,501.0,3634.0,4.0
2016,CH Gayle,227.0,3426.0,5.0
2016,RV Uthappa,394.0,3390.0,6.0
2016,DA Warner,848.0,3373.0,7.0
2016,MS Dhoni,284.0,3271.0,8.0
2016,AB de Villiers,687.0,3257.0,9.0
2016,S Dhawan,501.0,3082.0,10.0
2016,YK Pathan,361.0,2761.0,11.0
2016,V Sehwag,0.0,2728.0,12.0
2016,AM Rahane,480.0,2675.0,13.0
2016,SR Watson,179.0,2551.0,14.0
2016,KD Karthik,335.0,2542.0,15.0
2016,M Vijay,453.0,2511.0,16.0
2016,BB McCullum,354.0,2434.0,17.0
2016,JH Kallis,0.0,2427.0,18.0
2016,Yuvraj Singh,236.0,2335.0,19.0
2016,SR Tendulkar,0.0,2334.0,20.0
2016,AT Rayudu,334.0,2325.0,21.0
2016,SE Marsh,159.0,2213.0,22.0
2016,R Dravid,0.0,2174.0,23.0
2016,DR Smith,324.0,2146.0,24.0
2016,AC Gilchrist,0.0,2069.0,25.0
2016,JP Duminy,191.0,1993.0,26.0
2016,MEK Hussey,0.0,1977.0,27.0
2016,KA Pollard,207.0,1958.0,28.0
2016,PA Patel,177.0,1927.0,29.0
2016,MK Pandey,248.0,1819.0,30.0
2016,DPMD Jayawardene,0.0,1802.0,31.0
2016,KC Sangakkara,0.0,1687.0,32.0
2016,RA Jadeja,191.0,1574.0,33.0
2016,DA Miller,161.0,1480.0,34.0
2016,NV Ojha,136.0,1474.0,35.0
2016,S Badrinath,0.0,1441.0,36.0
2016,BJ Hodge,0.0,1400.0,37.0
2016,SC Ganguly,0.0,1349.0,38.0
2016,MK Tiwary,0.0,1324.0,39.0
2016,WP Saha,270.0,1323.0,40.0
2016,DJ Hussey,0.0,1322.0,41.0
2016,AJ Finch,393.0,1304.0,42.0
2016,F du Plessis,206.0,1287.0,43.0
2016,DJ Bravo,99.0,1262.0,44.0
2016,SPD Smith,270.0,1231.0,45.0
2016,SS Tiwary,170.0,1224.0,46.0
2016,TM Dilshan,0.0,1153.0,47.0
2016,IK Pathan,11.0,1137.0,48.0
2016,ML Hayden,0.0,1107.0,49.0
2016,SV Samson,291.0,1040.0,50.0
2017,SK Raina,442.0,4540.0,1.0
2017,V Kohli,308.0,4418.0,2.0
2017,RG Sharma,333.0,4207.0,3.0
2017,G Gambhir,498.0,4132.0,4.0
2017,DA Warner,641.0,4014.0,5.0
2017,RV Uthappa,388.0,3778.0,6.0
2017,CH Gayle,200.0,3626.0,7.0
2017,MS Dhoni,290.0,3561.0,8.0
2017,S Dhawan,479.0,3561.0,8.0
2017,AB de Villiers,216.0,3473.0,9.0
2017,AM Rahane,382.0,3057.0,10.0
2017,YK Pathan,143.0,2904.0,11.0
2017,KD Karthik,361.0,2903.0,12.0
2017,BB McCullum,319.0,2753.0,13.0
2017,V Sehwag,0.0,2728.0,14.0
2017,SR Watson,71.0,2622.0,15.0
2017,Yuvraj Singh,252.0,2587.0,16.0
2017,M Vijay,0.0,2511.0,17.0
2017,SE Marsh,264.0,2477.0,18.0
2017,JH Kallis,0.0,2427.0,19.0
2017,AT Rayudu,91.0,2416.0,20.0
2017,DR Smith,239.0,2385.0,21.0
2017,KA Pollard,385.0,2343.0,22.0
2017,SR Tendulkar,0.0,2334.0,23.0
2017,PA Patel,395.0,2322.0,24.0
2017,MK Pandey,396.0,2215.0,25.0
2017,R Dravid,0.0,2174.0,26.0
2017,AC Gilchrist,0.0,2069.0,27.0
2017,JP Duminy,0.0,1993.0,28.0
2017,MEK Hussey,0.0,1977.0,29.0
2017,DPMD Jayawardene,0.0,1802.0,30.0
2017,RA Jadeja,158.0,1732.0,31.0
2017,SPD Smith,472.0,1703.0,32.0
2017,KC Sangakkara,0.0,1687.0,33.0
2017,MK Tiwary,324.0,1648.0,34.0
2017,AJ Finch,299.0,1603.0,35.0
2017,DA Miller,83.0,1563.0,36.0
2017,WP Saha,234.0,1557.0,37.0
2017,NV Ojha,79.0,1553.0,38.0
2017,S Badrinath,0.0,1441.0,39.0
2017,SV Samson,386.0,1426.0,40.0
2017,BJ Hodge,0.0,1400.0,41.0
2017,SC Ganguly,0.0,1349.0,42.0
2017,DJ Hussey,0.0,1322.0,43.0
2017,F du Plessis,8.0,1295.0,44.0
2017,SS Tiwary,52.0,1276.0,45.0
2017,DJ Bravo,0.0,1262.0,46.0
2017,GJ Maxwell,310.0,1228.0,47.0
2017,KK Nair,281.0,1158.0,48.0
2017,TM Dilshan,0.0,1153.0,49.0
2018,SK Raina,445.0,4985.0,1.0
2018,V Kohli,530.0,4948.0,2.0
2018,RG Sharma,286.0,4493.0,3.0
2018,G Gambhir,85.0,4217.0,4.0
2018,RV Uthappa,351.0,4129.0,5.0
2018,S Dhawan,497.0,4058.0,6.0
2018,MS Dhoni,455.0,4016.0,7.0
2018,DA Warner,0.0,4014.0,8.0
2018,CH Gayle,368.0,3994.0,9.0
2018,AB de Villiers,480.0,3953.0,10.0
2018,AM Rahane,370.0,3427.0,11.0
2018,KD Karthik,498.0,3401.0,12.0
2018,SR Watson,555.0,3177.0,13.0
2018,YK Pathan,260.0,3164.0,14.0
2018,AT Rayudu,602.0,3018.0,15.0
2018,BB McCullum,127.0,2880.0,16.0
2018,V Sehwag,0.0,2728.0,17.0
2018,Yuvraj Singh,65.0,2652.0,18.0
2018,M Vijay,12.0,2523.0,19.0
2018,MK Pandey,284.0,2499.0,20.0
2018,SE Marsh,0.0,2477.0,21.0
2018,KA Pollard,133.0,2476.0,22.0
2018,PA Patel,153.0,2475.0,23.0
2018,JH Kallis,0.0,2427.0,24.0
2018,DR Smith,0.0,2385.0,25.0
2018,SR Tendulkar,0.0,2334.0,26.0
2018,R Dravid,0.0,2174.0,27.0
2018,AC Gilchrist,0.0,2069.0,28.0
2018,JP Duminy,36.0,2029.0,29.0
2018,MEK Hussey,0.0,1977.0,30.0
2018,SV Samson,441.0,1867.0,31.0
2018,RA Jadeja,89.0,1821.0,32.0
2018,DPMD Jayawardene,0.0,1802.0,33.0
2018,AJ Finch,134.0,1737.0,34.0
2018,SPD Smith,0.0,1703.0,35.0
2018,MK Tiwary,47.0,1695.0,36.0
2018,KC Sangakkara,0.0,1687.0,37.0
2018,WP Saha,122.0,1679.0,38.0
2018,DA Miller,74.0,1637.0,39.0
2018,NV Ojha,1.0,1554.0,40.0
2018,KK Nair,301.0,1459.0,41.0
2018,F du Plessis,162.0,1457.0,42.0
2018,S Badrinath,0.0,1441.0,43.0
2018,DJ Bravo,141.0,1403.0,44.0
2018,BJ Hodge,0.0,1400.0,45.0
2018,GJ Maxwell,169.0,1397.0,46.0
2018,KL Rahul,659.0,1384.0,47.0
2018,Mandeep Singh,252.0,1364.0,48.0
2018,SC Ganguly,0.0,1349.0,49.0
2018,DJ Hussey,0.0,1322.0,50.0
2019,V Kohli,464.0,5412.0,1.0
2019,SK Raina,383.0,5368.0,2.0
2019,RG Sharma,405.0,4898.0,3.0
2019,DA Warner,692.0,4706.0,4.0
2019,S Dhawan,521.0,4579.0,5.0
2019,CH Gayle,490.0,4484.0,6.0
2019,MS Dhoni,416.0,4432.0,7.0
2019,RV Uthappa,282.0,4411.0,8.0
2019,AB de Villiers,442.0,4395.0,9.0
2019,G Gambhir,0.0,4217.0,10.0
2019,AM Rahane,393.0,3820.0,11.0
2019,KD Karthik,253.0,3654.0,12.0
2019,SR Watson,398.0,3575.0,13.0
2019,AT Rayudu,282.0,3300.0,14.0
2019,YK Pathan,40.0,3204.0,15.0
2019,BB McCullum,0.0,2880.0,16.0
2019,PA Patel,373.0,2848.0,17.0
2019,MK Pandey,344.0,2843.0,18.0
2019,KA Pollard,279.0,2755.0,19.0
2019,Yuvraj Singh,98.0,2750.0,20.0
2019,V Sehwag,0.0,2728.0,21.0
2019,M Vijay,64.0,2587.0,22.0
2019,SE Marsh,0.0,2477.0,23.0
2019,JH Kallis,0.0,2427.0,24.0
2019,DR Smith,0.0,2385.0,25.0
2019,SR Tendulkar,0.0,2334.0,26.0
2019,SV Samson,342.0,2209.0,27.0
2019,R Dravid,0.0,2174.0,28.0
2019,AC Gilchrist,0.0,2069.0,29.0
2019,JP Duminy,0.0,2029.0,30.0
2019,SPD Smith,319.0,2022.0,31.0
2019,MEK Hussey,0.0,1977.0,32.0
2019,KL Rahul,593.0,1977.0,32.0
2019,RA Jadeja,106.0,1927.0,33.0
2019,F du Plessis,396.0,1853.0,34.0
2019,DA Miller,213.0,1850.0,35.0
2019,DPMD Jayawardene,0.0,1802.0,36.0
2019,WP Saha,86.0,1765.0,37.0
2019,AJ Finch,0.0,1737.0,38.0
2019,RR Pant,488.0,1736.0,39.0
2019,MK Tiwary,0.0,1695.0,40.0
2019,KC Sangakkara,0.0,1687.0,41.0
2019,SS Iyer,463.0,1681.0,42.0
2019,NV Ojha,0.0,1554.0,43.0
2019,SA Yadav,424.0,1544.0,44.0
2019,Mandeep Singh,165.0,1529.0,45.0
2019,DJ Bravo,80.0,1483.0,46.0
2019,KK Nair,5.0,1464.0,47.0
2019,Q de Kock,529.0,1456.0,48.0
2019,S Badrinath,0.0,1441.0,49.0
2020,V Kohli,466.0,5878.0,1.0
2020,SK Raina,0.0,5368.0,2.0
2020,DA Warner,548.0,5254.0,3.0
2020,RG Sharma,332.0,5230.0,4.0
2020,S Dhawan,618.0,5197.0,5.0
